Gene,placenta_1,placenta_2,Uterus_D14_1,Uterus_D14_2,Uterus_D14_3,placenta_term_1,placenta_term_2,placenta_term_3,placenta_term_4,PTR2_1,PTR2_2,PTR2_3,sTO01_1,sTO01_2,sTO02_1,sTO02_2,sTO02_3,sTO03_1,sTO03_2,sTO03_3
ENSSSCG00000061654,0,0,0,6.57E-03,6.89E-03,0.02335739,0.014269092,0.071247481,0.062862285,0,4.49E-03,0,0,4.52E-03,0,0,0,0,0,0
ENSSSCG00000061146,0,0.021858268,0.01532292,0.033791481,0.047261893,0.04670169,0.042795294,0.128887925,0.050698236,0.032473191,0.023079349,0.046226107,9.01E-03,7.75E-03,0,0,0,0,6.67E-03,0
ENSSSCG00000059420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000045842,5.52E-03,0.011811956,8.28E-03,0.03043421,0.012769891,0.03965823,0.04294844,0.102641437,0.020547556,0.013161103,8.32E-03,4.16E-03,0,0,0,0,0,0,0,0
ENSSSCG00000049921,0,0.063900555,0.134385273,0.208548559,0.172707023,0.01950399,0.077447775,0.052883019,0.049403813,0.031644088,0.05997357,0.030030577,0.017567567,0.01510586,0,0,0,0.01491645,6.50E-03,6.93E-03
ENSSSCG00000054122,0,0,0.198691837,0.158229172,0.063837865,0,0,7.33E-03,6.85E-03,0,0.0249391,0.016650347,0.029220826,8.38E-03,0.037570939,0.022940012,0,8.27E-03,0.043260475,0.015365554
SLC2A1,96.91299825,74.50175569,766.8590192,643.4217218,697.8124094,30.0296291,36.5131992,33.75910934,40.68729148,50.96703883,58.59367999,57.17725594,58.47774717,75.80793981,67.87555924,62.64976478,64.08010773,58.6760926,54.61657251,55.68731672
ZNF691,1.43675251,1.167167192,1.888151191,1.691271484,1.995190182,0.95608323,0.95423543,0.941160455,1.405628601,0.774359643,0.965531489,0.875521618,1.489203436,1.804053751,1.336098171,1.23370116,1.213202242,1.51596436,1.556091585,1.525071853
ERMAP,0.014192335,0.015175388,0.212762753,0.218961652,0.082030466,0.03705516,0.076400208,0.047095855,0.123192693,0.045089873,0,0.021395386,0,0.032286662,0.019311182,9.83E-03,0.010546,0,0.018529634,9.87E-03
ENSSSCG00000060526,4.80740389,10.84534415,5.707249113,4.991582945,4.946938999,4.87923336,4.005712109,4.463121529,7.356910122,6.577274207,7.696881958,6.995958956,6.494184045,6.953868857,8.753274013,8.041853387,7.640119354,8.59374716,7.655260332,8.060495912
ENSSSCG00000039678,0.048763407,0,0.633560197,0.734417166,1.052233528,0.01060981,0.019444687,0,0.020156069,0.284027662,0.183512876,0.281797345,0.014334647,0,0.022117081,0.022507027,0.012078325,0,0.021221974,0.011306651
ENSSSCG00000027374,3.45887602,2.750404279,4.345456103,3.881513709,4.527766504,1.49136619,1.684234923,2.169491766,2.981239504,2.940731784,2.973719501,2.941341438,4.253300355,4.761870855,5.210197832,4.583650181,4.441760331,5.06330543,4.814880665,4.866226129
P3H1,2.174190706,3.382513362,45.32283251,28.64960314,31.97046978,2.85850471,5.115539651,2.940644158,5.884070638,4.828723834,5.529771801,5.149499101,3.689397288,4.446061797,3.56827229,3.324424377,3.307751219,4.54462955,3.820731521,4.443938794
CLDN19,0,0,0.054893302,0.060527821,0.021164058,0.0119504,0,0,0,0,0,0.027600305,0,0,0,0,0,0,0.011951726,0
YBX1,70.27692659,83.09370164,90.94341889,86.37629407,86.94610074,42.760516,39.19056759,46.9201058,50.87719715,110.4109551,117.7752645,118.2381316,210.461828,223.8223337,250.457551,263.7368938,239.2121316,231.486166,233.9790343,226.4554234
PPIH,5.697427388,4.522643513,6.672098667,6.191669627,6.239489094,2.66812495,2.105109268,2.492914555,3.522712218,8.549114785,9.419921515,10.30210016,7.766404512,7.144864171,13.66863121,14.70726842,14.34273472,12.8342187,12.2500104,13.16291206
ENSSSCG00000003965,0.06907688,0.200041819,0.302037778,0.494802917,0.33271532,0.13526604,0.118786954,0.105061356,0.08208851,0.137163292,0.15597553,0.167050768,0.639640897,0.691876824,0.679478896,0.587839615,0.594566149,0.49785339,0.402085352,0.470490148
PPCS,6.016806075,6.346367256,4.048144007,4.593481238,3.886182316,3.00466771,2.775019754,2.730314194,4.090085456,7.470685687,7.011219269,7.909386037,9.493548784,9.61997668,8.920547114,9.002542863,9.076569526,11.9284721,12.46365665,11.49068193
ZMYND12,0,0,0.274177816,0.680221752,0.528544909,0,0.0410223,0,0.014174366,0.036315811,0,0,0,0.017335989,0,0.015827632,0,0,0.014923943,0
RIMKLA,0.013793457,0.117991051,0.155087265,0.114004124,0.159449971,0.04051543,0.049501978,0.027463331,0.059865171,0,0.010381871,0,0.267614728,0.821090116,0.037536877,0.071622544,0.046123212,0.07746444,0.108053135,0.105542409
FOXJ3,3.765280661,3.040024157,6.287160743,5.78973882,6.413891136,3.66659645,3.060073414,3.192246152,3.328610618,2.094048102,2.139900445,2.044959772,7.707482827,7.689465946,7.58606969,7.982092363,7.546352459,8.73916839,8.710382136,8.411056252
GUCA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08152012,0,0
GUCA2B,0,0.068786538,0,0.070893051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000043705,0,0.019564662,0.027430147,0,0.042302662,0.01194321,0.021888427,0.012143538,0.011344607,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000041170,0.024303806,0.051974493,0.182173858,0.080349233,0.056189559,0.03172774,0.043610768,0.016129954,0.03013751,0,0.018292657,0,0,0.018429873,0,0,0,0,0.031731259,0
ENSSSCG00000055574,0.029086243,0.022214961,0.155729667,0.064106757,0.05763976,0.0162733,0.044736323,0.033092508,0.018033943,9.90E-03,0.021892237,0,0,0,0,0,0,0,5.43E-03,2.89E-03
ENSSSCG00000051161,0,0,0,0.012010177,0.025196751,0,0.013037412,0.072330597,6.76E-03,0.017312444,0.024608603,0,0,0,0,0,0,0,0,0
ENSSSCG00000041384,0,0,8.92E-03,0,0,3.88E-03,3.56E-03,0,0,0,8.96E-03,0,0,0,0,0,0,0,0,0
ENSSSCG00000050171,0,0,0,0,0,0,6.50E-03,0,0,8.63E-03,8.18E-03,0,0,0,0,0,0,0,0,0
ENSSSCG00000060602,0,0,0.044130604,0,0.011343007,0.01280978,0.011738296,6.51E-03,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000059510,5.45E-03,0,0.065329515,0.012005877,6.30E-03,7.11E-03,3.26E-03,0.01446094,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000059695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000050157,0,0,0.013770969,0.010122993,0.01592815,0.01349087,1.37E-03,4.57E-03,0,0,0,6.92E-03,0,0,0,0,0,0,0,0
ENSSSCG00000041989,0,0,0,0.011844724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000042431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000058645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000054599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061658,0.141198913,0.025163212,0.176397271,0.259338075,0.299243078,0.01536084,0.042227905,0.015618486,0.029181873,0,0,0,0,0,0,0,0,0,0,0
ssc-mir-4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000033465,0.093167072,0.063757075,0.407837403,0.529783378,0.45664597,0.02189272,0.042352029,0.027206581,0.023106039,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000055976,0.011170472,5.97E-03,0.016746085,0.02461998,0.045195052,0.01458265,0.02338502,0.018534052,0.020777622,4.44E-03,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDN2,0,0,0.053073106,0.058520791,0.020462283,0,0.010587683,0.011747937,0.04390013,0.028118874,0,0,0,0,0,0,0,0,0,0
FOXO6,9.34E-03,0.039946019,2.814267392,3.056822183,5.020324924,0,0.027931595,6.20E-03,0.092651104,0,7.03E-03,0,0,0,0,0,0,0,6.10E-03,0
ENSSSCG00000043296,0,0,0,0.010843141,0.02843546,0,2.94E-03,0,6.10E-03,3.91E-03,0,0,0,0,0,0,0,0,0,0
U6_346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCMH1,0.910322297,0.847198629,9.818252531,7.709668371,7.999556473,0.77025453,1.134363192,0.799956371,2.022485691,0.040168707,0.114194827,0.050827376,0,0,0,0,6.26E-03,6.31E-03,0.011004858,5.86E-03
SLFNL1,0.013712648,0,8.078963191,4.699675734,4.596959199,8.95E-03,0.024605985,0.018201625,0.051012387,0.01089147,0.041284195,0.062016729,0.012093041,0,0,0,0,0,0,0
CTPS1,1.052215891,0.688836255,3.347987828,2.993542871,4.095850038,1.63293728,1.470660562,0.94774011,1.624320311,8.689967279,8.364146491,8.78910969,14.8186054,11.14628845,11.88478581,14.88189431,14.56845395,19.3599074,16.60453995,17.01350136
ssc-mir-9829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000048684,0.036419349,0,0.027298824,0.020067273,0.021050068,0.02377207,0.04356727,0,0.011290294,1.113673994,0.877171779,1.00198522,0.032117844,0.041425855,0.074332451,0.025214336,0.040593579,0.01363547,0.083211475,0.101333575
